timestamp,script,flow,model,input_tokens,cached_tokens,output_tokens,total_tokens,input_cost_usd,cached_cost_usd,output_cost_usd,total_cost_usd
2026-07-01 17:17:31,generate2.py,create_service_report,gpt-4o,84074,0,1523,85597,0.210185,0.000000,0.015230,0.225415
2026-07-01 17:17:49,generate2.py,create_service_report,gpt-4o,85244,79872,1700,86944,0.013430,0.099840,0.017000,0.130270
2026-07-01 17:18:04,generate2.py,create_service_report,gpt-4o,86116,79872,1440,87556,0.015610,0.099840,0.014400,0.129850
2026-07-01 17:18:16,generate2.py,create_service_report,gpt-4o,84812,79872,1378,86190,0.012350,0.099840,0.013780,0.125970
2026-07-01 17:18:32,generate2.py,create_service_report,gpt-4o,79433,0,705,80138,0.198583,0.000000,0.007050,0.205633
2026-07-01 17:18:53,generate2.py,create_service_report,gpt-4o,14451,0,1302,15753,0.036127,0.000000,0.013020,0.049147
2026-07-01 17:37:10,generate1.py,create_service_report,gpt-4o,9554,4494,14048,0.023885,0.044940,0.068825
2026-07-01 17:37:54,generate1.py,create_service_report,gpt-4o,9373,4321,13694,0.023432,0.043210,0.066642
2026-07-01 17:38:13,generate1.py,create_service_report,gpt-4o,9373,1805,11178,0.023432,0.018050,0.041482
2026-07-01 17:39:00,generate1.py,create_service_report,gpt-4o,9372,4380,13752,0.023430,0.043800,0.067230
2026-07-01 17:39:06,generate1.py,create_service_report,gpt-4o,9373,543,9916,0.023432,0.005430,0.028862
2026-07-01 17:47:46,generate2.py,create_service_report,gpt-4o,84029,0,1601,85630,0.210072,0.000000,0.016010,0.226082
2026-07-01 17:48:02,generate2.py,create_service_report,gpt-4o,85364,79872,1656,87020,0.013730,0.099840,0.016560,0.130130
2026-07-01 17:48:17,generate2.py,create_service_report,gpt-4o,84754,79872,1774,86528,0.012205,0.099840,0.017740,0.129785
2026-07-01 17:48:23,generate2.py,create_service_report,gpt-4o,81969,79872,460,82429,0.005242,0.099840,0.004600,0.109682
2026-07-01 17:48:46,generate2.py,create_service_report,gpt-4o,79388,0,486,79874,0.198470,0.000000,0.004860,0.203330
2026-07-02 10:07:10,extract.py,create_service_report,gpt-4o,74225,1501,75726,0.185562,0.015010,0.200572
2026-07-02 10:07:15,extract.py,create_service_report,gpt-4o,349,141,490,0.000873,0.001410,0.002282
