timestamp,script,flow,model,input_tokens,output_tokens,total_tokens,input_cost_usd,output_cost_usd,total_cost_usd
2026-06-29 13:11:15,generate1.py,create_service_report,gpt-4o,8296,3748,12044,0.020740,0.037480,0.058220
2026-06-29 13:26:15,generate1.py,create_service_report,gpt-4o,8404,3569,11973,0.021010,0.035690,0.056700
2026-06-29 13:33:16,generate1.py,create_service_report,gpt-4o,8468,4644,13112,0.021170,0.046440,0.067610
2026-06-29 14:38:18,generate1.py,create_service_report,gpt-4o,8578,4042,12620,0.021445,0.040420,0.061865
2026-06-29 15:08:10,generate1.py,create_service_report,gpt-4o,8637,3464,12101,0.021593,0.034640,0.056232
2026-06-29 15:31:19,generate1.py,create_service_report,gpt-4o,8637,4595,13232,0.021593,0.045950,0.067543
2026-06-29 16:22:38,generate1.py,create_service_report,gpt-4o,9169,16000,25169,0.022923,0.160000,0.182923
2026-06-29 16:26:36,generate1.py,create_service_report,gpt-4o,9204,6464,15668,0.023010,0.064640,0.087650
2026-06-29 16:27:01,generate1.py,create_service_report,gpt-4o,9204,3216,12420,0.023010,0.032160,0.055170
2026-06-29 16:27:21,generate1.py,create_service_report,gpt-4o,9202,2403,11605,0.023005,0.024030,0.047035
2026-06-29 16:27:27,generate1.py,create_service_report,gpt-4o,9204,508,9712,0.023010,0.005080,0.028090
2026-06-29 16:27:31,generate1.py,create_service_report,gpt-4o,9206,414,9620,0.023015,0.004140,0.027155
2026-06-29 16:30:21,generate1.py,create_service_report,gpt-4o,9240,7423,16663,0.023100,0.074230,0.097330
2026-06-29 16:30:48,generate1.py,create_service_report,gpt-4o,9240,3185,12425,0.023100,0.031850,0.054950
2026-06-29 16:31:19,generate1.py,create_service_report,gpt-4o,9238,3182,12420,0.023095,0.031820,0.054915
2026-06-29 16:31:25,generate1.py,create_service_report,gpt-4o,9240,559,9799,0.023100,0.005590,0.028690
2026-06-29 16:40:49,generate2.py,create_service_report,gpt-4o,79671,4974,84645,0.199178,0.049740,0.248918
2026-06-29 17:26:17,generate1.py,create_service_report,gpt-4o,8630,2860,11490,0.021575,0.028600,0.050175
2026-06-29 17:26:45,generate1.py,create_service_report,gpt-4o,8628,3659,12287,0.021570,0.036590,0.058160
2026-06-29 17:27:08,generate1.py,create_service_report,gpt-4o,8628,2951,11579,0.021570,0.029510,0.051080
2026-06-29 17:27:38,generate1.py,create_service_report,gpt-4o,8627,3710,12337,0.021568,0.037100,0.058668
2026-06-29 17:46:24,generate1.py,create_service_report,gpt-4o,8800,2789,11589,0.022000,0.027890,0.049890
2026-06-29 17:46:46,generate1.py,create_service_report,gpt-4o,8794,1725,10519,0.021985,0.017250,0.039235
2026-06-29 17:46:59,generate1.py,create_service_report,gpt-4o,8794,1379,10173,0.021985,0.013790,0.035775
2026-06-29 17:47:14,generate1.py,create_service_report,gpt-4o,8793,1539,10332,0.021982,0.015390,0.037372
2026-06-29 17:51:20,generate1.py,create_service_report,gpt-4o,8799,2646,11445,0.021997,0.026460,0.048458
2026-06-29 17:51:53,generate1.py,create_service_report,gpt-4o,8794,2446,11240,0.021985,0.024460,0.046445
2026-06-29 17:52:11,generate1.py,create_service_report,gpt-4o,8794,1554,10348,0.021985,0.015540,0.037525
2026-06-29 17:52:29,generate1.py,create_service_report,gpt-4o,8793,1411,10204,0.021982,0.014110,0.036092
2026-06-29 17:54:44,generate1.py,create_service_report,gpt-4o,8877,3168,12045,0.022193,0.031680,0.053873
2026-06-29 17:56:43,generate1.py,create_service_report,gpt-4o,8630,3058,11688,0.021575,0.030580,0.052155
2026-06-29 17:57:17,generate1.py,create_service_report,gpt-4o,8628,3790,12418,0.021570,0.037900,0.059470
2026-06-29 17:57:47,generate1.py,create_service_report,gpt-4o,8628,3717,12345,0.021570,0.037170,0.058740
2026-06-29 17:58:21,generate1.py,create_service_report,gpt-4o,8627,3744,12371,0.021568,0.037440,0.059008
2026-06-29 18:10:03,generate1.py,create_service_report,gpt-4o,8791,3507,12298,0.021978,0.035070,0.057048
2026-06-29 18:10:34,generate1.py,create_service_report,gpt-4o,8857,2926,11783,0.022142,0.029260,0.051403
2026-06-29 18:10:52,generate1.py,create_service_report,gpt-4o,8857,1649,10506,0.022142,0.016490,0.038633
2026-06-29 18:11:25,generate1.py,create_service_report,gpt-4o,8856,3477,12333,0.022140,0.034770,0.056910
2026-06-29 18:11:32,generate1.py,create_service_report,gpt-4o,8857,388,9245,0.022142,0.003880,0.026023
2026-06-29 18:16:15,generate2.py,create_service_report,gpt-4o,67252,1549,68801,0.168130,0.015490,0.183620
2026-06-29 18:17:05,generate2.py,create_service_report,gpt-4o,68221,1837,70058,0.170553,0.018370,0.188923
2026-06-29 18:17:43,generate2.py,create_service_report,gpt-4o,67841,1890,69731,0.169602,0.018900,0.188502
2026-06-29 18:17:54,generate2.py,create_service_report,gpt-4o,64256,85,64341,0.160640,0.000850,0.161490
2026-06-29 18:18:05,generate2.py,create_service_report,gpt-4o,64368,668,65036,0.160920,0.006680,0.167600
2026-06-30 13:27:09,extract.py,agent_create_report,gpt-4o,69140,380,69520,0.172850,0.003800,0.176650
2026-06-30 13:33:20,extract.py,agent_create_report,gpt-4o,69596,916,70512,0.173990,0.009160,0.183150
2026-06-30 13:44:23,extract.py,agent_create_report,gpt-4o,69879,845,70724,0.174698,0.008450,0.183148
2026-06-30 14:55:51,extract.py,agent_create_report,gpt-4o,70582,1470,72052,0.176455,0.014700,0.191155
2026-06-30 15:04:43,extract.py,agent_create_report,gpt-4o,73785,1496,75281,0.184463,0.014960,0.199423
2026-06-30 15:53:21,generate2.py,create_service_report,gpt-4o,101501,1799,103300,0.253752,0.017990,0.271742
2026-06-30 15:53:50,generate2.py,create_service_report,gpt-4o,102470,1683,104153,0.256175,0.016830,0.273005
2026-06-30 15:54:11,generate2.py,create_service_report,gpt-4o,102090,1285,103375,0.255225,0.012850,0.268075
2026-06-30 15:54:20,generate2.py,create_service_report,gpt-4o,98505,69,98574,0.246262,0.000690,0.246952
2026-06-30 15:54:58,generate2.py,create_service_report,gpt-4o,98672,675,99347,0.246680,0.006750,0.253430
2026-06-30 15:55:04,generate2.py,create_service_report,gpt-4o,10210,678,10888,0.025525,0.006780,0.032305
2026-06-30 16:30:51,generate2.py,create_service_report,gpt-4o,101588,1181,102769,0.253970,0.011810,0.265780
2026-06-30 16:31:29,generate2.py,create_service_report,gpt-4o,102557,1434,103991,0.256393,0.014340,0.270733
2026-06-30 16:33:24,generate2.py,create_service_report,gpt-4o,101588,1327,102915,0.253970,0.013270,0.267240
2026-06-30 16:33:44,generate2.py,create_service_report,gpt-4o,102557,1415,103972,0.256393,0.014150,0.270543
2026-06-30 16:33:59,generate2.py,create_service_report,gpt-4o,102177,1425,103602,0.255443,0.014250,0.269693
2026-06-30 16:34:09,generate2.py,create_service_report,gpt-4o,98592,75,98667,0.246480,0.000750,0.247230
2026-06-30 16:34:36,generate2.py,create_service_report,gpt-4o,98672,644,99316,0.246680,0.006440,0.253120
2026-06-30 16:34:46,generate2.py,create_service_report,gpt-4o,9715,1054,10769,0.024288,0.010540,0.034827
2026-06-30 16:51:56,generate1.py,create_service_report,gpt-4o,9050,4050,13100,0.022625,0.040500,0.063125
2026-06-30 16:52:26,generate1.py,create_service_report,gpt-4o,9116,4057,13173,0.022790,0.040570,0.063360
2026-06-30 16:52:38,generate1.py,create_service_report,gpt-4o,9116,1569,10685,0.022790,0.015690,0.038480
2026-06-30 16:53:09,generate1.py,create_service_report,gpt-4o,9115,3717,12832,0.022788,0.037170,0.059958
2026-06-30 17:04:43,generate2.py,create_service_report,gpt-4o,102487,1665,104152,0.256217,0.016650,0.272867
2026-06-30 17:05:17,generate2.py,create_service_report,gpt-4o,103233,1893,105126,0.258082,0.018930,0.277012
2026-06-30 17:05:55,generate2.py,create_service_report,gpt-4o,102878,1716,104594,0.257195,0.017160,0.274355
2026-06-30 17:06:10,generate2.py,create_service_report,gpt-4o,99196,251,99447,0.247990,0.002510,0.250500
2026-06-30 17:06:29,generate2.py,create_service_report,gpt-4o,98682,467,99149,0.246705,0.004670,0.251375
2026-06-30 17:06:40,generate2.py,create_service_report,gpt-4o,11027,1089,12116,0.027567,0.010890,0.038457
2026-06-30 17:27:15,generate1.py,create_service_report,gpt-4o,9088,4350,13438,0.022720,0.043500,0.066220
2026-06-30 17:27:48,generate1.py,create_service_report,gpt-4o,9154,3963,13117,0.022885,0.039630,0.062515
2026-06-30 17:28:20,generate1.py,create_service_report,gpt-4o,9154,4196,13350,0.022885,0.041960,0.064845
2026-06-30 17:28:48,generate1.py,create_service_report,gpt-4o,9153,3477,12630,0.022883,0.034770,0.057653
2026-06-30 17:28:52,generate1.py,create_service_report,gpt-4o,9154,415,9569,0.022885,0.004150,0.027035
2026-06-30 17:30:08,generate2.py,create_service_report,gpt-4o,102958,1461,104419,0.257395,0.014610,0.272005
2026-06-30 17:30:42,generate2.py,create_service_report,gpt-4o,103298,2094,105392,0.258245,0.020940,0.279185
2026-06-30 17:31:07,generate2.py,create_service_report,gpt-4o,103444,1983,105427,0.258610,0.019830,0.278440
2026-06-30 17:31:23,generate2.py,create_service_report,gpt-4o,101714,951,102665,0.254285,0.009510,0.263795
2026-06-30 17:31:43,generate2.py,create_service_report,gpt-4o,98737,677,99414,0.246842,0.006770,0.253613
2026-06-30 17:32:02,generate2.py,create_service_report,gpt-4o,12765,1964,14729,0.031913,0.019640,0.051553
2026-07-01 11:41:07,extract.py,create_service_report,gpt-4o,74088,1178,75266,0.185220,0.011780,0.197000
2026-07-01 11:52:08,extract.py,create_service_report,gpt-4o,74281,1324,75605,0.185703,0.013240,0.198943
2026-07-01 11:55:45,extract.py,create_service_report,gpt-4o,74334,1165,75499,0.185835,0.011650,0.197485
2026-07-01 12:07:34,extract.py,create_service_report,gpt-4o,73924,16384,90308,0.184810,0.163840,0.348650
2026-07-01 12:26:44,generate1.py,create_service_report,gpt-4o,9231,5291,14522,0.023078,0.052910,0.075988
2026-07-01 12:27:27,generate1.py,create_service_report,gpt-4o,9291,4774,14065,0.023228,0.047740,0.070968
2026-07-01 12:27:42,generate1.py,create_service_report,gpt-4o,9291,1751,11042,0.023228,0.017510,0.040737
2026-07-01 12:28:22,generate1.py,create_service_report,gpt-4o,9290,3776,13066,0.023225,0.037760,0.060985
2026-07-01 12:28:27,generate1.py,create_service_report,gpt-4o,9291,422,9713,0.023228,0.004220,0.027447
2026-07-01 12:33:24,generate1.py,create_service_report,gpt-4o,9201,5426,14627,0.023003,0.054260,0.077263
2026-07-01 12:34:09,generate1.py,create_service_report,gpt-4o,9261,4501,13762,0.023152,0.045010,0.068163
2026-07-01 12:34:49,generate1.py,create_service_report,gpt-4o,9261,4339,13600,0.023152,0.043390,0.066543
2026-07-01 12:35:37,generate1.py,create_service_report,gpt-4o,9260,4066,13326,0.023150,0.040660,0.063810
2026-07-01 12:35:42,generate1.py,create_service_report,gpt-4o,9261,433,9694,0.023152,0.004330,0.027482
2026-07-01 12:36:59,generate2.py,create_service_report,gpt-4o,84408,1271,85679,0.211020,0.012710,0.223730
2026-07-01 12:37:16,generate2.py,create_service_report,gpt-4o,85200,1792,86992,0.213000,0.017920,0.230920
2026-07-01 12:37:32,generate2.py,create_service_report,gpt-4o,84947,1761,86708,0.212368,0.017610,0.229978
2026-07-01 12:37:47,generate2.py,create_service_report,gpt-4o,84866,1452,86318,0.212165,0.014520,0.226685
